customerId,locationId,since,addressType,verificationStatus
468eb4b5-d215-4371-adf4-6057b32bc1e5,af457535-b53e-4f5c-9c49-40775d30d0bf,2018-04-12,permanent,False
d5100947-0136-4c2e-96fd-ba7c2a1c4be9,bf21bdb2-f6dc-4b4f-84dc-4fbb4f750924,2023-02-10,temporal,False
5f81594a-1c58-4955-9021-9de84f18e816,005fb130-d17e-4042-a030-854d76ca9e0b,2018-07-13,temporal,True
544d6a1f-e655-41d1-a7a7-9aa82c7a335d,8c6a6513-d99e-414d-b5ef-c177109febda,2015-06-10,temporal,True
b4b7794a-32d6-45a0-bbc3-5db411dbe762,92ebe1a2-8355-451a-8a73-52320d986c54,2022-02-05,temporal,True
5ca2626a-38a9-4451-a07c-e85c8d49e892,15e82072-dc4d-46f4-8b62-11f6bd1cfdec,2015-12-31,permanent,False
7cf15640-4608-4a48-ab40-8f1b5036b89f,19abb07d-a269-4646-add3-95a4af06d0b7,2018-09-28,permanent,False
305d71c8-d07a-42ed-a4f0-1749158aaf0f,77eed4a6-7497-47d9-9953-a0f546a2228d,2022-11-15,temporal,False
fc7a6b53-539f-464f-b66f-15cb98539198,93dfff54-2b89-453a-981a-c3960eccc78a,2015-08-09,permanent,False
f9002cfc-cf5a-419d-b097-6a371e461093,788e1096-c55c-447b-9899-79b16dc342d3,2021-08-20,permanent,True
8035a117-c48c-414d-87a1-265de3416777,1ea74593-c54e-49e6-8be5-95e6bd0064b0,2023-08-31,temporal,True
119d85a3-2301-48e0-9097-dfca49481680,a1b1ca1d-c5a5-45a3-af79-51418d3c7137,2023-09-20,permanent,False
90baf649-6f25-4feb-92e0-0bf4b5a61666,fa224bc3-3ef4-4c3a-8cc1-42cbf758b418,2018-01-02,temporal,True
93ea0ff9-13d1-47df-9dbf-f87203b98bb2,e04835f1-49ad-4c7a-8325-e201b4de0901,2023-10-16,temporal,False
0908d760-8d40-422f-930d-492c47dca8bd,f372fcdd-5edf-44dd-9f42-c9698e06d1c4,2021-06-25,permanent,False
1b4052df-326f-45af-8d79-01040fff92e4,24e77d0e-315c-45f7-8acf-4b571b5cad38,2020-02-25,permanent,False
5cbb1c82-7242-4430-ace3-4e0f36926676,90558376-cb22-438a-9eba-68901c83d0c0,2016-03-05,permanent,True
30e2148c-d350-4b6a-a076-82e916a9d39d,37c4ea73-6a14-4f3c-b6ef-c34af7968bea,2018-01-21,permanent,False
036dbe93-b873-4108-9db2-b5478a811e6d,04ee38f1-ce96-4663-80da-f833ba20a461,2024-12-24,temporal,True
87eef017-2085-4c5c-a337-2cf43014189e,b3e40b16-7a45-4daf-9fd6-f092e091de53,2016-10-13,temporal,True
cedaa684-4955-4f79-8a2c-26edc5c4d684,59e47ce4-e8f8-4675-8038-9ceca0314adb,2021-11-23,permanent,False
