customerId,deviceId,lastAccessed,ipAddress,deviceType
5ab4ae97-9ef6-47c5-bfa2-181b52cd2ddd,634718fd-ddf6-4f33-b184-90535b71089f,2025-02-24 18:08:41.841109,183.164.228.80,Desktop
2986ce37-5b0b-455d-b80c-9ccd19ecbd81,dd0be824-75db-4bf9-b897-188072b44323,2025-01-24 12:20:36.034172,6.213.173.215,Mobile
ff8b5e85-7a2d-42ba-8b2f-8833bc5af4ca,1f398932-865c-4ea1-a69b-b2cf1a227bb1,2025-02-02 17:35:03.617666,114.103.6.125,Mobile
99242bac-8b88-46af-9fa9-dcd41451abcd,3d32df94-74f3-49a0-81e3-fac3593183ae,2025-01-29 14:06:42.742086,7.35.146.252,Desktop
c76fe73a-f4c4-4b03-8aa3-583976c5e73c,1c594a8e-edcf-4198-b191-309922c72608,2025-01-15 03:12:16.112561,218.59.220.171,Mobile
5069e54a-6900-4028-979b-6b39068de874,5df04572-d80c-4ba1-a2b0-fe49e74e5b65,2025-02-09 15:55:19.773960,221.242.194.164,Mobile
43f834c9-d8d9-45ca-88a4-fb36b4b089d5,7aff01f6-2f6e-45eb-9e6b-661fbd3bfb91,2025-01-29 10:26:12.314364,50.155.32.112,Desktop
e2f758a7-0c5a-402d-a67d-24747bb05012,d16825a3-30fa-43c4-bebd-98fc6d9ba71e,2025-02-18 11:21:55.568026,90.55.20.54,Desktop
865f37e1-22d1-447a-9c54-e28dec032c7a,cb2b992b-8899-4791-8898-5a3fbc95aab3,2025-02-12 15:59:56.393757,40.53.233.32,Desktop
fef8067a-be4d-440f-aabd-b6b1da7d0d0e,a99b1952-8e60-4050-b277-b2064a428996,2025-02-24 15:38:52.228274,95.145.105.80,Mobile
57981ba7-a5a7-42dd-af3e-ec740bc71c12,e2d56125-cd20-4af0-ab3b-ab44ca0b70c0,2025-01-08 16:01:10.432557,48.231.27.102,Mobile
750a89a4-ce1a-4e0f-a78e-625908c14c04,da83e09e-787b-4bc4-8613-e1f4ce8d45ac,2025-01-26 18:40:01.584028,122.117.193.161,Mobile
06ea3743-1778-4d23-9655-e8c48a1b6173,82ebfee9-2cb4-4d98-a739-0e92cee6d2b3,2025-01-26 12:03:25.712585,91.152.246.59,Desktop
de9791d0-77dd-4dec-ba13-802ff500aab5,2c5e10c1-e596-4245-b2a4-000acd8a6828,2025-02-24 07:11:28.677169,100.40.82.30,Mobile
106bb249-d002-490e-94ad-8ad803f95e09,35ff58cf-60c2-4aa0-b0b3-c43fe15d3c36,2025-02-22 21:24:45.860460,137.103.16.165,Desktop
874ce384-6876-4b25-b8ec-b4137078f21d,eae141e5-52fc-40bb-a31f-21be42852902,2025-02-08 00:36:03.925303,216.236.18.200,Desktop
